*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
profuso	"profuse, lavish"
reparador	"restorative, reinvigorating, refreshing"
ballenero	whaling
folklórico	"folkloric, folk"
desabrido	"tasteless, brusque, harsh"
petroquímico	petrochemical
retardado	"retarded, delayed, mentally disabled"
anguloso	"angular, sharp"
destemplado	"distempered, shivery"
*** 3401 - 3410 (/course/185945/spanish-adjectives/341/)	
pletórico	"plethoric, expression, full of"
bochornoso	"sultry, sticky, stuffy"
tónico	tonic
botado	"generous, comfortable, wealthy"
impracticable	"impracticable, unworkable, impassable"
indisoluble	"indissoluble, insoluble, binding"
lapidario	"lapidary, solemn"
mejicano	Mexican
ensamblador	assembly
inexpresivo	"expressionless, inexpressive"
*** 3411 - 3420 (/course/185945/spanish-adjectives/342/)	
fútil	"futile, trifling, inane"
semifinalista	semifinal
polivalente	"polyvalent, versatile, multi-use"
quinquenal	quinquennial
palmado	"of the palm, palmar"
rallado	grated
monolítico	monolithic
mulato	mulatto
nauseabundo	"nauseous, nauseating, sickening"
malhadado	unhappy
*** 3421 - 3430 (/course/185945/spanish-adjectives/343/)	
encumbrado	"lofty, high, soaring"
programable	programmable
huesudo	"bony, all bone, skeletal"
gravoso	"burdensome, oppressive"
arisco	"surly, vicious, sharp"
protocolario	formal
insustituible	irreplaceable
obtuso	"obtuse, blunt, dull"
venoso	"venous, veined"
agónico	"death, dying, to the death"
*** 3431 - 3440 (/course/185945/spanish-adjectives/344/)	
divisible	"divisible, partible, dividable"
renegado	"renegade, disowned"
babilónico	Babylonian
doctrinario	doctrinaire
senil	senile
rasgado	"almond-shaped, slanted, slanting"
hogareño	"domestic, home-loving, stay-at-home"
ducho	dexterous
calificativo	"qualifying, descriptive"
parco	"frugal, sparing, scarce"
*** 3441 - 3450 (/course/185945/spanish-adjectives/345/)	
descansado	"easy, restful, relaxed"
déspota	"despotic, tyrannical, brutal"
insano	"insane, unhealthy, morbid"
aventajado	"outstanding, excellent"
variopinto	"a variety of, a diversity of, colourful"
araucano	"Araucanian, Araucan"
rioplatense	"from Río de la Plata, of Río de la Plata"
sádico	sadistic
jubiloso	"jubilant, joyous, joyful"
excusado	"superfluous, unnecessary"
*** 3451 - 3460 (/course/185945/spanish-adjectives/346/)	
infinitesimal	infinitesimal
vaporoso	"steamy, vaporous, vapoury"
rencoroso	"rancorous, resentful"
lacio	"limp, droopy, straight"
interdependiente	interdependent
noticioso	newsworthy
numerario	numerical
mellizo	twin
quebradizo	"brittle, fragile, breakable"
caníbal	cannibal
*** 3461 - 3470 (/course/185945/spanish-adjectives/347/)	
seráfico	"seraphic, seraphical"
voluntarioso	"willful, wayward, headstrong"
adherente	"adherent, sticky, adhesive"
brumoso	"misty, foggy, hazy"
atribulado	"distressed, afflicted, heartbroken"
episódico	episodic
atenuante	extenuating
fantasioso	"fantasy, imaginative"
disconforme	"in disagreement, dissatisfied, unhappy"
tendencioso	"tendentious, biased, partial"
*** 3471 - 3480 (/course/185945/spanish-adjectives/348/)	
practicable	practicable
transexual	transsexual
carmelita	Carmelite
dieléctrico	dielectric
lacónico	"laconic, terse"
gringo	"Yankee, yank, gringo"
cetáceo	cetacean
entrometido	"obtrusive, meddling, meddlesome"
notarial	notarial
optativo	"optional, elective, optative"
*** 3481 - 3490 (/course/185945/spanish-adjectives/349/)	
rechoncho	"chubby, plump, thickset"
ducal	ducal
talar	"full-length, floor-length, maxi"
pectoral	"pectoral, chest"
permisivo	"permissive, indulgent"
decimoséptimo	seventeenth
recatado	"demure, coy, prim"
alcanzable	"attainable, reachable"
paralítico	"paralytic, palsied, disabled"
arrebatador	"passionate, dazzling, blinding"
*** 3491 - 3500 (/course/185945/spanish-adjectives/350/)	
tejano	"Texan, denim"
contextual	contextual
trópico	tropical
demagógico	demagogic
derretido	"melted, molten"
declarativo	declarative
estremecedor	"hair-raising, heart-rending"
impávido	"dauntless, undaunted, unperturbed"
fraterno	fraternal
antioxidante	antirust
*** 3501 - 3510 (/course/185945/spanish-adjectives/351/)	
escurridizo	"slippery, slip, evasive"
temporario	temporary
bucólico	"bucolic, pastoral"
mejorable	improvable
injurioso	"insulting, offensive, injurious"
raquítico	"rickety, rachitic, stunted"
compositivo	composite
mortecino	"dying, dim, weak"
permeable	"pervious, permeable"
acumulativo	"cumulative, accumulative, compound"
*** 3511 - 3520 (/course/185945/spanish-adjectives/352/)	
apiñado	"crowded, congested"
maoísta	Maoist
pecaminoso	"sinful, guilty"
irrealizable	unrealizable
voluble	"fickle, unstable, unpredictable"
trasatlántico	transatlantic
jurado	"authorized, certified, sworn"
ambivalente	"ambivalent, ambiguous, two-way"
dañoso	"harmful, mischievous, injurious"
paisajista	landscape
*** 3521 - 3530 (/course/185945/spanish-adjectives/353/)	
infausto	"unhappy, unlucky, fateful"
mustio	"withered, limp, gloomy"
introvertido	"introvert, introverted"
oligárquico	oligarchic
alucinante	"amazing, awesome, hallucinatory"
pascual	paschal
plomizo	"leaden, plumbeous, sullen"
desbocado	"runaway, out of control, worn"
prudencial	prudential
anárquico	"anarchic, anarchical"
*** 3531 - 3540 (/course/185945/spanish-adjectives/354/)	
electrostático	electrostatic
hierático	"hieratic, inscrutable, inexpressive"
hacendado	landed
nimio	"trivial, insignificant, petty"
mamífero	mammal
azucarado	"sugary, sweet, sugared"
agridulce	"bittersweet, sweet and sour"
nazareno	Nazarene
apabullante	overwhelming
soez	rude
*** 3541 - 3550 (/course/185945/spanish-adjectives/355/)	
virginal	"virginal, maiden, maidenly"
cartográfico	cartographic
fétido	"fetid, foul, stinking"
incorruptible	incorruptible
abrasador	"scorching, burning, blistering"
medroso	"fearful, cowardly, scary"
sacrosanto	sacrosanct
divulgativo	"information, of information, education"
templario	templar
fecal	"foul, polluted, fecal"
*** 3551 - 3560 (/course/185945/spanish-adjectives/356/)	
sardónico	sardonic
hirviente	"seething, boiling, scalding"
desagradecido	"ungrateful, unthankful, ungrateful person"
engorroso	"annoying, bothersome, trying"
plenipotenciario	plenipotentiary
apetitoso	"appetizing, tempting, inviting"
modelo	"exemplary, model"
nítrico	nitric
numeral	"numeral, numeric, numerical"
desenfadado	"casual, relaxed"
*** 3561 - 3570 (/course/185945/spanish-adjectives/357/)	
etnográfico	ethnographic
brioso	"proud, lively"
direccional	directional
semiautomático	semiautomatic
desechable	"disposable, throwaway, throw-away"
mugriento	"grubby, grimy, dirty"
indescifrable	"indecipherable, crabbed, illegible"
evocador	"evocative, dreamy"
ceñudo	"grim, frowning, scowling"
cálcico	calcic
*** 3571 - 3580 (/course/185945/spanish-adjectives/358/)	
concomitante	"concomitant, attendant, concurrent"
inveterado	"inveterate, confirmed, habitual"
leonado	"tawny, fulvous"
lesivo	"harmful, damaging, detrimental"
recalcitrante	"recalcitrant, obstinate"
estrafalario	"bizarre, wild, odd"
inconstante	"fickle, inconstant, unsteady"
senatorial	senatorial
descarriado	"astray, wayward, good for nothing"
moroso	"defaulter, defaulting, bad"
*** 3581 - 3590 (/course/185945/spanish-adjectives/359/)	
demostrable	"demonstrable, provable"
durable	durable
pretérito	"preterite, preterit, past"
renuente	reluctant
conmocionado	shocked
pequeñísimo	smallest
prieto	"tight-fitting, tight, dark"
sempiterno	"everlasting, sempiternal"
habanero	habanero pepper
sarnoso	"mangy, scabious, itchy"
*** 3591 - 3600 (/course/185945/spanish-adjectives/360/)	
estomacal	stomach
santísimo	"saintly, blessed"
acerado	steely
idólatra	"idolatrous, heathen"
incomprendido	misunderstood
posesivo	possessive
huraño	"shy, aloof, retiring"
diferido	"deferred, recorded, pre-recorded"
desestabilizador	destabilizing
octogenario	octogenarian
*** 3601 - 3610 (/course/185945/spanish-adjectives/361/)	
hostelero	"catering, hotel"
palomar	pigeon loft
meditabundo	"thoughtful, pensive, meditative"
retumbante	reverberating
zodiacal	zodiacal
estentóreo	stentorian
meteórico	meteoric
atronador	"deafening, thunderous, thundering"
agasajado	entertaining
candoroso	"innocent, naive"
*** 3611 - 3620 (/course/185945/spanish-adjectives/362/)	
fantasmagórico	phantasmagorical
regocijado	"exhilarated, merry, gleeful"
moteado	"mottled, speckled, spotted"
desalentador	"discouraging, disheartening"
ignominioso	"ignominious, disgraceful, inglorious"
fallado	past participle of fallar
preeminente	"prominent, preeminent"
atontado	"stunned, dopey, besotted"
amputado	amputated
dedicatorio	dedicatory
*** 3621 - 3630 (/course/185945/spanish-adjectives/363/)	
interplanetario	interplanetary
raudo	"swift, quick"
desvencijado	"ramshackle, rickety, rattletrap"
denodado	"dauntless, intrepid, brave"
coleccionable	collectable
jodido	"fucking, in a bad way, hard"
monacal	"monkish, monastic"
sensorio	sensory
conjuntivo	conjunctive
incorpóreo	"disembodied, incorporeal, bodiless"
*** 3631 - 3640 (/course/185945/spanish-adjectives/364/)	
aterciopelado	"velvety, velvet-like, velvet"
hirsuto	"hirsute, coarse, wiry"
láctico	"lactic, dairy"
parasitario	"parasitical, parasitic"
vergonzante	"embarrassing, shame-faced, bashful"
leproso	"leper, leprous"
demacrado	"gaunt, emaciated, haggard"
diabético	diabetic
hiperbólico	"hyperbolic, hyperbolical"
torneado	toned
*** 3641 - 3650 (/course/185945/spanish-adjectives/365/)	
culpado	guilty
parietal	parietal
paternalista	paternalistic
arrojadizo	projectile
despistado	"scatterbrain, lost in thought, distracted"
atinado	"wise, spot on, pertinent"
comprometedor	"compromising, damning, obligating"
averiguado	"learned, inquired"
multidimensional	multidimensional
centelleante	"scintillating, sparkling, twinkling"
*** 3651 - 3660 (/course/185945/spanish-adjectives/366/)	
extraterritorial	extraterritorial
helicoidal	helical
sobrecogedor	"horrible, startling, shocking"
mole	"lump, be great, be cool"
titánico	titanic
atezado	swarthy
chárter	"charter, chartered"
pinto	"dappled, piebald, skewbald"
fricativo	fricative
aspirado	aspirate
*** 3661 - 3670 (/course/185945/spanish-adjectives/367/)	
licencioso	licentious
embelesado	"spellbound, enraptured, entranced"
adictivo	addictive
adiposo	adipose
aerotransportado	airborne
enriquecedor	"enriching, rewarding"
cavernoso	"cavernous, hollow"
carmín	carmine
tullido	"crippled, lame"
nucleico	nucleic
*** 3671 - 3680 (/course/185945/spanish-adjectives/368/)	
bribón	"rascally, naughty, mischievous"
inapelable	"unappealable, inevitable, unavoidable"
montenegrino	Montenegrin
ambulatorio	"ambulatory, outpatient"
irritable	"irritable, techy, fretful"
censurable	"objectionable, censurable, reprehensible"
sardo	Sardinian
salvo	safe and sound
espurio	spurious
tórrido	torrid
*** 3681 - 3690 (/course/185945/spanish-adjectives/369/)	
ensenado	"taught, trained, learned"
adulador	"fawning, adulatory"
movedizo	"moving, shifting, shaky"
conspirador	conspiratorial
dúctil	"ductile, soft, adaptable"
gelatinoso	"gelatinous, jellied, full of jelly"
nihilista	nihilistic
mordido	bitten
volado	"flown, affair, lie"
sigiloso	"secretive, sneaky, sneaking"
*** 3691 - 3700 (/course/185945/spanish-adjectives/370/)	
coactivo	coercive
críptico	cryptic
algodonero	cotton
endiablado	"filthy, terrible, awful"
torvo	"grim, baleful, fierce"
inodoro	"odorless, odourless"
divisor	dividing
vidrioso	"glassy, glazed"
mismísimo	"self-same, very same, self same"
promiscuo	"promiscuous, mixed"
*** 3701 - 3710 (/course/185945/spanish-adjectives/371/)	
afeminado	"effeminate, unmanly, womanish"
bravío	"untamed, wild, uncouth"
metodista	Methodist
otoñal	autumnal
convicto	convicted
decimonoveno	nineteenth
repelente	"repellent, repulsive, cheeky"
telescópico	telescopic
irresoluto	"unresolved, irresolute, indecisive"
llevadero	"bearable, livable, liveable"
*** 3711 - 3720 (/course/185945/spanish-adjectives/372/)	
pediátrico	"pediatric, paediatric"
apático	"apathetic, listless, torpid"
evitable	"avoidable, preventable"
amodorrado	drowsy
egocéntrico	"egocentric, self-centred"
incestuoso	incestuous
judaico	Judaic
indistinto	"indistinct, indiscriminate"
incomodado	troubled
pegadizo	"catchy, sticky, infectious"
*** 3721 - 3730 (/course/185945/spanish-adjectives/373/)	
despreciativo	"contemptuous, scornful, snide"
dable	"possible, feasible"
cuadrático	quadratic
transitivo	transitive
axiomático	axiomatic
calórico	caloric
imborrable	"indelible, permanent, unforgettable"
semiótico	semiotic
sanguinolento	"bloody, sanguinolent, bloodshot"
combinatorio	combining
*** 3731 - 3740 (/course/185945/spanish-adjectives/374/)	
decrépito	"decrepit, ancient, very old"
alucinado	"deluded, hoodwinked"
yerto	"rigid, stiff"
lego	"lay, ignorant"
milésimo	"thousandth, millesimal"
paradisíaco	"heavenly, paradisiacal, paradisal"
patentado	"proprietary, patent"
coaxial	coaxial
colmo	"full to the brim, overflowing"
elogioso	"appreciative, eulogistic"
*** 3741 - 3750 (/course/185945/spanish-adjectives/375/)	
reincidente	"recidivist, relapsing, reoffending"
dubitativo	"dubious, undecided"
acrobático	acrobatic
aglutinante	agglutinative
irrespetuoso	"disrespectful, irreverent"
ibero	Iberian
marsupial	marsupial
hiriente	"wounding, hurtful, offensive"
bromista	"full of jokes, full of fun, fond of a laugh"
criptográfico	cryptographic
*** 3751 - 3760 (/course/185945/spanish-adjectives/376/)	
encinta	"pregnant, enceinte"
bermejo	"russet, ginger, bright red"
socarrón	sarcastic
lindero	adjoining
hípico	"equine, hippic"
prohibitivo	prohibitive
teocrático	theocratic
depravado	"vicious, depraved, degenerate"
menguado	"timid, shy, stupid"
deshonroso	"dishonorable, disgraceful, disreputable"
*** 3761 - 3770 (/course/185945/spanish-adjectives/377/)	
grandilocuente	"grandiloquent, magniloquent, expressive"
silábico	syllabic
aseado	"clean, cleanly"
introspectivo	introspective
desfallecido	faint
membranoso	"membranous, membraneous"
montañero	"mountain, mountaineering"
presumible	"presumable, likely, probable"
apologético	"apologetic, apologetical"
quincuagésimo	fiftieth
*** 3771 - 3780 (/course/185945/spanish-adjectives/378/)	
lujurioso	"lecherous, lustful, lewd"
borrascoso	"stormy, blustery, gusty"
impresentable	"unpresentable, socially inept, unreliable"
anodino	"anodyne, harmless, dull"
bengalí	Bengali
vírico	viral
valedero	valid
orientativo	"ball-park, guide, illustrative"
laberíntico	"rambling, labyrinthine"
loro	talkative
*** 3781 - 3790 (/course/185945/spanish-adjectives/379/)	
acrílico	acrylic
coreográfico	choreographic
quejoso	"complaining, moaning,"
mauritano	Mauritanian
yegua	stupid
feriado	"celebrated, observed"
inválido	"invalid, void"
magiar	Magyar
impúdico	unchaste
enfriado	"chilled, cooled, chilly"
*** 3791 - 3800 (/course/185945/spanish-adjectives/380/)	
harapiento	"ragged, shabby"
glabro	"hairless, glabrous"
velludo	"hairy, shaggy, plush"
helvético	Helvetic
unipersonal	"single-owner, single-member, individual"
cáustico	"caustic, scathing, acrimonious"
iterativo	"iterative, repeated, repetitive"
distendido	relaxed
antidepresivo	antidepressant
baqueano	expert
*** 3801 - 3810 (/course/185945/spanish-adjectives/381/)	
almenado	"castellated, crenellated"
enrevesado	"confusing, inaccessible"
cobrizo	"copper, cupric, coppery"
ordinal	ordinal
benemérito	worthy
malasio	Malaysian
adepto	adept
trepidante	"frenetic, shuddering"
umbrío	"gloomy, shady, dark"
esposado	handcuffed
*** 3811 - 3820 (/course/185945/spanish-adjectives/382/)	
disipado	dissipated
nitrogenado	nitrogenous
desperdigado	scattered
impagable	"invaluable, priceless"
lechoso	"milky, pale, creamy"
escuálido	"scraggy, skinny, scrawny"
sexista	sexist
decaído	"downcast, miserable, depressed"
antiinflamatorio	anti-inflammatory
omnívoro	omnivorous
*** 3821 - 3830 (/course/185945/spanish-adjectives/383/)	
blancuzco	"whitish, off-white"
engreído	"conceited, uppity, bumptious"
moldavo	Moldavian
vítreo	vitreous
cabalístico	"cabalistic, cabbalistic"
cuadragésimo	fortieth
cárdeno	"lurid, purple"
rollizo	"plump, over-weight"
empanado	"be sluggish, groggy, be logy"
fosforescente	"phosphorescent, phosporescent, fluorescent"
*** 3831 - 3840 (/course/185945/spanish-adjectives/384/)	
paradisiaco	"heavenly, paradisiacal, paradisaical"
asexual	asexual
maleable	"malleable, docile"
translúcido	translucent
clasista	"class, class conscious, classist"
tordo	"dapple-grey [UK], dapple-gray [US], dappled"
rebuscado	"elaborate, precious, recherche"
nominativo	"nominative, made out to a specific person"
calorífico	calorific
albino	albino
*** 3841 - 3850 (/course/185945/spanish-adjectives/385/)	
disoluto	"dissolute, profligate, raffish"
inoperante	"ineffective, inoperative, inactive"
